,Unnamed: 0,Parcel ID,Address,County,State,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood,lat,long
147,147,15042 000476,6967 LANCASTER XING,Hall County,Georgia,1/31/2022,"$490,980.00 ",0.26,Residential,2021,3134,$156.66 ,05662 Lancaster,34.1400411,-83.8900222
148,148,08024 006203,4418 SW CHESTNUT OAK WAY,Hall County,Georgia,1/31/2022,"$458,009.00 ",0.18,Residential,2021,2740,$167.16 ,08018B White Oak Park @ MM,34.2528513,-83.8682685
149,149,08065 000286,5123 WATCHMANS CV,Hall County,Georgia,1/31/2022,"$414,940.00 ",0.16,Residential,2021,2233,$185.82 ,08065 Stephens Point,34.2418663,-83.910214
150,150,10030 001043,5460 OLD LANTERN WAY,Hall County,Georgia,1/28/2022,"$304,900.00 ",1.6,Residential,2021,2111,$144.43 ,01029 Lawsons Cove,34.2819518,-83.9052263
151,151,08111 003269,5975 SCREECH OWL DR,Hall County,Georgia,1/28/2022,"$363,990.00 ",0.16,Residential,2021,2884,$126.21 ,08111 Summit Lake,34.1911189,-83.9254306
152,152,09101A000084,3908 SKYLINE DR,Hall County,Georgia,1/28/2022,"$260,900.00 ",0.36,Residential,2021,1008,$258.83 ,L17001 Surfside Club Estates,34.3720579,-83.7498974
153,153,15047 002236,7009 RIVER ROCK DR,Hall County,Georgia,1/28/2022,"$474,555.00 ",0.14,Residential,2021,1880,$252.42 ,05037H HONEYCUTT,34.1450196,-83.9083792
154,154,12127 000053,8711 HARDWOOD TRL,Hall County,Georgia,1/28/2022,"$438,900.00 ",1,Residential,2021,2603,$168.61 ,03034 MALLARD VIEW,34.4618007,-83.7186572
155,155,12007 000125,5839 CANTERBURY WAY,Hall County,Georgia,1/28/2022,"$490,240.00 ",0.8,Residential,2021,2909,$168.53 ,03037 AVALON HILLS S/D,34.4564343,-83.8270622
156,156,12127 000037,8631 DECOY LN,Hall County,Georgia,1/28/2022,"$465,000.00 ",1,Residential,2021,1927,$241.31 ,03034 MALLARD VIEW,34.4624015,-83.7196853
157,157,09079B000021,6346 WOODLAND STATION DR,Hall County,Georgia,1/28/2022,"$313,700.00 ",0.5,Residential,2021,2184,$143.64 ,07073 MAGNOLIA STATION,34.4079404,-83.6928315
158,158,10030 001032,5443 STEPSTONE WAY,Hall County,Georgia,1/28/2022,"$307,620.00 ",1.1,Residential,2021,1508,$203.99 ,01029 Lawsons Cove,34.24865795,-83.83906545
